Player,Year,player_efficiency,WS/48,OBPM,2P,BPM,FT,MP,G,PTS,DBPM,2PA,PER
Francisco Elson,5.0,10.700279426816786,0.08899999999999998,-2.5,82.0,0.10000000000000003,33.0,977.0,59.0,200.0,2.700000000000001,165.0,10.300000000000006
Francisco Elson,6.0,5.651499999999997,-0.08666666666666661,-6.933333333333337,3.333333333333333,-12.033333333333335,1.3333333333333333,44.0,8.0,8.0,-5.0666666666666655,10.0,5.7333333333333325
Francisco Elson,7.0,9.26257868852459,0.045999999999999985,-3.5,54.0,-3.100000000000001,26.0,610.0,62.0,134.0,0.4,113.0,8.900000000000002
Francisco Elson,8.0,6.006499999999999,-0.026,-8.6,1.0,-4.3,0.0,16.0,5.0,2.0,4.3,3.0,6.3
Mike Bibby,0.0,13.161712741751987,0.034999999999999976,0.3000000000000003,245.0,-2.200000000000001,127.0,1758.0,50.0,662.0,-2.5,531.0,14.79999999999999
Mike Bibby,1.0,15.794553407290016,0.086,2.0,382.0,0.2,195.0,3155.0,82.0,1190.0,-1.9,819.0,16.7
Mike Bibby,2.0,16.120247962382447,0.081,2.3,417.0,0.7,143.0,3190.0,82.0,1301.0,-1.6,872.0,16.8
Mike Bibby,3.0,15.135682211357652,0.113,0.4,395.0,-0.4,155.0,2659.0,80.0,1098.0,-0.8,847.0,14.9
Mike Bibby,4.0,17.587068119891008,0.14599999999999996,1.8999999999999992,273.0,1.0,161.0,1835.0,55.0,875.0,-0.8999999999999999,563.0,17.600000000000005
Mike Bibby,5.0,18.960848993288593,0.151,4.0,379.0,2.1000000000000005,304.0,2980.0,82.0,1506.0,-1.9,792.0,19.300000000000004
Mike Bibby,6.0,19.321569066147863,0.133,3.5,429.0,2.3000000000000003,320.0,3084.0,80.0,1571.0,-1.2,900.0,19.2
Mike Bibby,7.0,17.706574992106084,0.127,3.2,405.0,1.0,342.0,3167.0,82.0,1728.0,-2.3,885.0,17.9
Mike Bibby,8.0,16.069377514367808,0.07599999999999997,2.1000000000000005,298.0,0.1,288.0,2784.0,82.0,1403.0,-2.0,685.0,16.0
Mike Bibby,9.0,14.753524475524467,0.05799999999999996,1.0333333333333343,103.33333333333331,-1.1333333333333322,52.0,1048.6666666666667,32.0,444.66666666666674,-2.1999999999999984,236.66666666666663,14.300000000000017
Mike Bibby,10.0,16.22744598540146,0.121,2.6,270.0,1.7,135.0,2740.0,79.0,1176.0,-0.9,577.0,16.3
Mike Bibby,11.0,12.711398633257408,0.104,1.2,142.0,-0.2,68.0,2195.0,80.0,730.0,-1.5,320.0,12.7
Mike Bibby,12.0,10.856471334792122,0.02425,-1.5750000000000002,47.5,-3.2749999999999995,19.5,1142.5,40.0,344.0,-1.675,114.0,8.174999999999999
Mike Bibby,13.0,7.7561795332136425,0.06099999999999995,-2.299999999999998,8.0,-2.5,6.0,557.0,39.0,103.0,-0.2,39.0,7.800000000000009
Richard Hamilton,0.0,10.988946831755284,0.024,-1.4,226.0,-4.5,103.0,1373.0,71.0,639.0,-3.1,528.0,11.6
Richard Hamilton,1.0,14.649705438666134,0.046,0.9,507.0,-2.2,277.0,2519.0,78.0,1411.0,-3.1,1103.0,15.7
Richard Hamilton,2.0,15.771176123468,0.087,1.0,456.0,-1.8,300.0,2203.0,63.0,1260.0,-2.8,1042.0,16.9
Richard Hamilton,3.0,16.801505303030307,0.132,1.2,538.0,-0.3,440.0,2640.0,82.0,1612.0,-1.6,1167.0,18.7
Richard Hamilton,4.0,15.294868686868687,0.141,1.1999999999999995,512.0,1.3000000000000005,297.0,2772.0,78.0,1375.0,0.10000000000000003,1098.0,16.800000000000008
Richard Hamilton,5.0,15.121987012987011,0.121,0.9,474.0,0.4,368.0,2926.0,76.0,1424.0,-0.5,1042.0,16.0
Richard Hamilton,6.0,17.410131681415933,0.13,1.9,594.0,0.2,256.0,2825.0,80.0,1609.0,-1.8,1202.0,18.2
Richard Hamilton,7.0,17.034076366268547,0.141,2.3,503.0,1.1,347.0,2763.0,75.0,1485.0,-1.2,1041.0,18.1
Richard Hamilton,8.0,17.772385726072606,0.15200000000000005,2.9,437.0,2.5,184.0,2424.0,72.0,1244.0,-0.4000000000000002,889.0,18.199999999999992
Richard Hamilton,9.0,16.335936814392273,0.095,2.1,396.0,-0.1,223.0,2279.0,67.0,1225.0,-2.2,853.0,16.9
Richard Hamilton,10.0,14.55214755154639,0.043,0.9,252.0,-2.5,204.0,1552.0,46.0,831.0,-3.4,579.0,14.9
Richard Hamilton,11.0,15.454383845126836,0.059000000000000025,0.9000000000000002,233.0,-2.5,146.0,1498.0,55.0,777.0,-3.399999999999999,527.0,15.800000000000002
Richard Hamilton,12.0,12.767852223816359,0.09199999999999987,-0.3999999999999993,123.0,-2.0999999999999965,29.0,697.0,28.0,326.0,-1.6999999999999995,264.0,13.200000000000026
Richard Hamilton,13.0,12.767852223816359,0.092,-0.4,123.0,-2.1000000000000005,29.0,697.0,28.0,326.0,-1.6999999999999995,264.0,13.199999999999998
Richard Hamilton,14.0,10.760984375,0.01600000000000001,-3.0999999999999988,188.0,-5.5,66.0,1088.0,50.0,490.0,-2.400000000000004,423.0,10.600000000000016
Zydrunas Ilgauskas,0.0,19.776679277007144,0.189,0.3,453.0,2.0,230.0,2379.0,82.0,1139.0,1.7,872.0,19.7
Zydrunas Ilgauskas,1.0,16.320959064327482,0.134,-0.7,29.0,-1.3,18.0,171.0,5.0,76.0,-0.6,57.0,17.5
Zydrunas Ilgauskas,2.0,15.138383116883118,0.056,-2.1,114.0,-2.1,53.0,616.0,24.0,281.0,0.0,232.0,16.0
Zydrunas Ilgauskas,3.0,17.23514747930774,0.08899999999999998,-1.3000000000000005,241.0,-2.2,208.0,1329.0,62.0,690.0,-0.9000000000000001,562.0,17.4
Zydrunas Ilgauskas,4.0,19.185061677631584,0.099,-0.5,495.0,-0.9000000000000002,400.0,2432.0,81.0,1390.0,-0.4,1117.0,19.4
Zydrunas Ilgauskas,5.0,19.43970500196928,0.14699999999999994,0.8999999999999995,464.0,1.7000000000000008,303.0,2539.0,81.0,1237.0,0.8000000000000004,958.0,20.200000000000006
Zydrunas Ilgauskas,6.0,19.181310133843212,0.149,0.3,456.0,1.0,402.0,2615.0,78.0,1320.0,0.7000000000000001,972.0,19.5
Zydrunas Ilgauskas,7.0,20.630824353920275,0.184,0.8,450.0,1.8,317.0,2283.0,78.0,1217.0,1.0,884.0,21.9
Zydrunas Ilgauskas,8.0,17.379140375586854,0.14800000000000002,-0.6,385.0,2.0,155.0,2130.0,78.0,925.0,2.6,792.0,18.0
Zydrunas Ilgauskas,9.0,18.443714221422145,0.131,-1.3,417.0,-0.1,195.0,2222.0,73.0,1029.0,1.2,878.0,18.7
Zydrunas Ilgauskas,10.0,17.60473541076487,0.151,-1.9,327.0,-0.9,139.0,1765.0,65.0,838.0,1.0,685.0,18.0
Zydrunas Ilgauskas,11.0,12.22531292008962,0.08800000000000001,-3.3,183.0,-3.2,75.0,1339.0,64.0,474.0,0.2,415.0,11.9
Zydrunas Ilgauskas,12.0,12.707067248908295,0.1219999999999999,-2.599999999999997,162.0,-1.5,36.0,1145.0,72.0,360.0,1.0,318.0,12.799999999999995
Bimbo Coles,0.0,11.673740959409592,0.038,-2.6,156.0,-3.0,71.0,1355.0,82.0,401.0,-0.3,359.0,10.4
Bimbo Coles,1.0,15.785781376518216,0.073,-0.1,285.0,-2.0,216.0,1976.0,81.0,816.0,-1.9,597.0,14.3
Bimbo Coles,2.0,15.591017473118276,0.12199999999999993,1.5999999999999976,276.0,-0.09999999999999984,177.0,2232.0,81.0,855.0,-1.7000000000000013,549.0,14.700000000000026
Bimbo Coles,3.0,13.441832560834296,0.08900000000000001,-0.1,213.0,-1.1,102.0,1726.0,76.0,588.0,-1.0,420.0,13.0
Bimbo Coles,4.0,12.802021748980515,0.06,-0.9,245.0,-1.5,141.0,2207.0,68.0,679.0,-0.6,531.0,12.5
Bimbo Coles,5.0,12.51248680688336,0.08233333333333334,-0.06666666666666665,153.33333333333334,-0.5,112.0,1743.333333333333,54.0,594.6666666666666,-0.3666666666666667,348.66666666666674,12.1
Bimbo Coles,6.0,9.459557903634822,0.01900000000000001,-1.3999999999999992,92.0,-3.200000000000001,37.0,1183.0,51.0,311.0,-1.899999999999999,212.0,9.5
Bimbo Coles,7.0,9.989927260367095,0.02900000000000002,-2.700000000000001,153.0,-3.799999999999998,78.0,1471.0,53.0,423.0,-1.1000000000000003,381.0,10.399999999999997
Bimbo Coles,8.0,13.313737421383646,0.1029999999999999,-0.3000000000000005,177.0,-1.0,83.0,1272.0,48.0,455.0,-0.7000000000000014,389.0,14.799999999999974
Bimbo Coles,9.0,11.9660077962578,0.05800000000000001,-0.5999999999999999,268.0,-2.3999999999999995,85.0,1924.0,80.0,645.0,-1.7999999999999998,568.0,12.900000000000002
Bimbo Coles,10.0,8.628162935323383,0.0,-3.200000000000001,89.0,-6.099999999999998,48.0,804.0,47.0,232.0,-2.9000000000000012,223.0,9.300000000000006
Bimbo Coles,11.0,8.57558008658009,0.027000000000000003,-2.799999999999998,52.0,-5.6999999999999975,33.0,693.0,47.0,149.0,-2.9000000000000017,126.0,8.800000000000006
Bimbo Coles,12.0,6.4401447178002895,0.008000000000000005,-4.4,32.666666666666664,-6.433333333333335,23.33333333333333,460.66666666666674,23.33333333333333,102.66666666666669,-2.033333333333336,90.66666666666669,7.166666666666651
Bimbo Coles,13.0,1.4414647058823555,-0.03600000000000002,-6.799999999999999,12.0,-8.7,4.0,170.0,22.0,28.0,-1.8999999999999992,34.0,1.8
Bimbo Coles,14.0,1.4414647058823555,-0.036000000000000025,-6.8,12.0,-8.699999999999998,4.0,170.0,22.0,28.0,-1.8999999999999992,34.0,1.7999999999999996
Kwame Brown,0.0,10.573706242350061,0.048,-3.5,94.0,-3.5,70.0,817.0,57.0,258.0,0.0,242.0,11.2
Kwame Brown,1.0,12.564003948110551,0.069,-3.4,224.0,-2.7,145.0,1773.0,80.0,593.0,0.7,499.0,13.6
Kwame Brown,2.0,14.942275569450647,0.105,-1.0,287.0,-0.5,228.0,2239.0,74.0,805.0,0.5,587.0,15.7
Kwame Brown,3.0,10.192625550660793,0.032,-3.9,109.0,-4.4,74.0,908.0,42.0,292.0,-0.5,237.0,10.4
Kwame Brown,4.0,11.411688068756321,0.08800000000000004,-2.0,204.0,-1.7000000000000008,128.0,1978.0,72.0,536.0,0.30000000000000004,387.0,11.699999999999996
Kwame Brown,5.0,13.808569787985865,0.08,-1.3999999999999997,143.0,0.6999999999999998,59.0,1132.0,41.0,345.0,2.1,241.0,13.699999999999998
