name,year_drafted,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,eff
Randy Livingston,1996,64,15.3,3.9,1.6,3.6,43.7,0.1,0.3,40.9,0.7,1,64.6,0.5,1,1.5,2.4,0.6,0.2,1.6,4.6
Jamie Feick,1996,41,15.2,3.7,1.4,3.8,35.7,0.1,0.3,35.7,0.8,1.6,50.7,2,3.2,5.2,0.6,0.4,0.3,0.8,6.2
Othella Harrington,1996,57,15.1,4.8,2,3.6,54.9,0,0.1,0,0.9,1.4,60.5,1.3,2.2,3.5,0.3,0.2,0.4,1,6
Erick Dampier,1996,72,14.6,5.1,1.8,4.7,39,0,0,100,1.5,2.3,63.7,1.3,2.8,4.1,0.6,0.3,1,1.2,6.2
Tony Delk,1996,61,14.2,5.4,2,4.2,46.5,0.9,1.8,46.4,0.7,0.8,82.4,0.5,1.1,1.6,1.6,0.6,0.1,1.1,5.9
Samaki Walker,1996,43,14,5,1.9,4.3,44.4,0,0,0,1.1,1.7,64.9,1.1,2.3,3.4,0.4,0.3,0.5,0.9,5.7
Todd Fuller,1996,75,12.7,4.1,1.5,3.5,42.9,0,0,0,1,1.5,69.1,1.4,1.9,3.3,0.3,0.1,0.3,0.7,4.9
John Wallace,1996,68,11.6,4.8,1.8,3.5,51.7,0,0.1,50,1.2,1.6,71.8,0.8,1.5,2.3,0.5,0.3,0.4,1.1,5
Derek Fisher,1996,80,11.5,3.9,1.3,3.3,39.7,0.3,0.9,30.1,1,1.5,65.8,0.3,0.9,1.2,1.5,0.5,0.1,0.9,3.8
Steve Nash,1996,65,10.5,3.3,1.1,2.7,42.3,0.4,0.8,41.8,0.6,0.8,82.4,0.2,0.7,1,2.1,0.3,0,1,4
Ray Owes,1996,57,10.4,3.1,1.3,3.2,41.7,0,0.1,20,0.5,0.8,56.5,1.1,1.7,2.9,0.3,0.3,0.3,0.4,4.2
Jermaine O'Neal,1996,45,10.2,4.1,1.5,3.4,45.1,0,0,0,1,1.7,60.3,0.9,1.9,2.8,0.2,0,0.6,0.6,4.5
Malik Rose,1996,54,9.7,3,1.1,2.4,47.7,0,0,0,0.7,1.1,61.3,1.3,1.7,3,0.6,0.5,0.3,0.8,5
Brett Szabo,1996,70,9.5,2.2,0.8,1.7,44.6,0,0,0,0.6,0.9,73.8,0.8,1.6,2.4,0.2,0.2,0.5,0.6,3.7
Darvin Ham,1996,36,8.8,2.3,0.9,1.7,53.2,0,0,0,0.5,1,48.6,0.8,0.8,1.6,0.4,0.3,0.2,0.6,2.8
Martin Muursepp,1996,42,8.3,3.7,1.3,3.1,41.2,0.1,0.6,16.7,1,1.7,62.9,0.8,0.8,1.6,0.5,0.3,0.3,0.4,3.5
Steve Hamer,1996,35,7.7,2.2,0.9,1.6,52.6,0,0.1,0,0.5,0.8,55.2,0.5,1.2,1.7,0.2,0.1,0.1,0.4,2.7
Mark Bradtke,1996,36,7,1.6,0.7,1.6,43.1,0,0,0,0.3,0.4,69.2,0.7,1.2,1.9,0.2,0.1,0.1,0.3,2.7
Shane Heal,1996,43,5.5,1.7,0.6,2.3,26.8,0.5,1.5,30.8,0.1,0.1,60,0,0.4,0.4,0.8,0.1,0.1,0.4,1
