"playerID","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","note"
"daniean01","2000","1","SAS","NBA","79","0","2060","745","26","137","163","304","61","14","109","120","588","275","156","121","183","74","13","0","406","176","4","22","26","38","7","1","13","22","131","63","35","33","46","17",
"davidko01","2000","1","TOR","NBA","17","0","140","42","9","24","33","4","2","3","7","20","29","15","13","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"davidko01","2000","2","DET","NBA","10","0","69","20","6","13","19","3","4","1","4","8","22","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"davisan01","2000","1","TOR","NBA","78","0","2729","1069","274","513","787","106","22","151","135","230","866","375","423","319","1","0","12","0","485","197","41","92","133","23","10","22","21","35","154","77","53","43","0","0",
"davisba01","2000","1","CHH","NBA","82","0","3192","1131","129","279","408","598","170","36","226","267","957","409","337","228","274","85","10","0","397","178","9","35","44","58","28","5","22","33","123","59","56","40","50","20",
"davisda01","2000","1","POR","NBA","81","0","2162","580","233","373","606","103","44","76","67","199","487","242","152","96","4","0","2","0","20","1","3","1","4","0","1","0","1","7","2","0","2","1","1","0",
"davisem01","2000","1","SEA","NBA","62","0","1290","361","28","126","154","137","64","12","77","101","318","133","55","45","127","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"davishu01","2000","1","DAL","NBA","51","0","1261","371","18","91","109","61","29","1","56","92","314","139","41","35","133","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"davishu01","2000","2","WAS","NBA","15","0","431","153","10","20","30","49","6","0","25","29","119","57","21","19","38","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"davisri01","2000","1","MIA","NBA","7","0","70","32","1","6","7","11","5","2","5","7","29","12","8","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"daviste01","2000","1","DEN","NBA","19","0","228","33","24","29","53","7","1","1","5","34","25","12","22","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"dayto01","2000","1","MIN","NBA","31","0","345","132","10","27","37","28","10","7","24","52","118","44","23","18","69","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"declean01","2000","1","ORL","NBA","67","0","903","261","91","145","236","32","41","33","51","198","193","107","82","47","0","0","4","0","54","20","7","9","16","1","2","2","2","17","14","8","8","4","0","0",
"delkto01","2000","1","PHO","NBA","82","0","2288","1005","76","185","261","160","75","17","101","171","923","383","235","185","168","54","4","0","114","47","5","11","16","4","3","0","5","7","43","18","11","7","10","4",
"delnevi01","2000","1","GSW","NBA","29","0","396","77","4","27","31","62","6","0","15","36","90","30","16","16","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"delnevi01","2000","2","PHO","NBA","36","0","526","177","8","43","51","64","20","3","19","42","144","76","28","25","4","0","3","0","26","8","0","2","2","5","0","0","0","2","7","4","0","0","0","0",
