Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,Odd/Even
1977,-0.418,0.093,0.25,0.258,0.113,0.208,0.076,-0.005,0.014,-0.056,0.399,0.05,0.082,
1977,40,40,40,40,40,40,40,40,40,40,40,40,,
1978,0.044,-0.054,0.123,0.015,-0.053,-0.156,-0.071,-0.258,-0.075,-0.065,0.139,-0.155,-0.047,
1978,40,40,40,40,40,40,40,39,40,40,40,40,,
1979,-0.111,-0.31,-0.002,-0.251,-0.081,0.109,0.018,0.05,0.082,0.203,0.125,0.633,0.039,
1979,40,40,40,40,40,40,40,40,40,40,40,40,,
1980,0.095,0.243,-0.116,0.17,0.265,0.124,0.059,0.078,0.093,0.124,0.252,0.108,0.125,
1980,40,40,40,40,40,40,40,40,40,40,40,40,,
1981,0.739,0.599,0.502,0.412,0.107,0.145,0.096,0.24,0.099,0.041,0.148,0.474,0.3,
1981,40,40,40,40,40,40,40,40,40,40,40,39,,
1982,-0.205,0.097,-0.243,0.041,-0.012,-0.139,0.026,-0.002,0.072,-0.142,-0.14,0.406,-0.02,
1982,39,39,39,39,39,39,39,40,40,40,39,39,,
1983,0.707,0.477,0.353,0.15,0.154,0.114,0.264,0.32,0.396,0.192,0.548,0.126,0.317,
1983,39,39,40,40,39,40,40,39,39,40,39,39,,
1984,0.139,-0.111,0.038,-0.128,0.221,0.036,-0.011,0.034,-0.142,0.079,-0.188,-0.534,-0.047,
1984,39,39,39,39,39,40,40,39,39,39,39,39,,
1985,-0.005,-0.297,-0.097,-0.019,0.057,-0.058,-0.156,0.1,-0.047,0.033,-0.046,0.03,-0.042,
1985,40,40,40,40,40,40,39,40,40,39,40,39,,
1986,0.425,0.192,0.195,0.261,0.185,0.141,-0.05,0.015,-0.077,-0.003,-0.043,0.035,0.106,
1986,39,39,39,39,39,39,39,39,39,39,39,39,,
1987,0.183,0.686,-0.114,0.192,0.188,0.213,0.368,0.208,0.317,0.26,0.141,0.53,0.264,
1987,39,39,39,39,39,39,39,39,39,39,39,39,,
1988,0.638,0.274,0.378,0.305,0.367,0.429,0.342,0.321,0.376,0.338,0.094,0.474,0.361,
1988,39,39,39,39,39,39,39,39,39,39,39,39,,
1989,0.131,0.422,0.388,0.219,0.183,0.151,0.2,0.22,0.219,0.293,0.066,0.316,0.234,
1989,39,39,39,39,39,39,39,39,39,39,39,39,,
1990,0.387,0.543,1.162,0.59,0.398,0.44,0.282,0.361,0.221,0.486,0.596,0.411,0.49,
1990,39,39,39,39,39,39,39,39,39,39,38,38,,
1991,0.517,0.52,0.27,0.558,0.316,0.564,0.419,0.344,0.369,0.331,0.249,0.103,0.38,
1991,38,37,37,37,37,37,37,37,37,37,37,37,,
1992,0.702,0.534,0.418,0.08,0.124,0.049,-0.244,-0.093,-0.224,-0.196,-0.216,0.192,0.094,
1992,38,37,37,37,38,37,37,37,37,37,37,37,,
1993,0.441,0.452,0.347,0.174,0.222,0.22,0.155,0.107,-0.085,0.131,-0.321,0.277,0.177,
