player,position,current_team,college
"Aldrich, Cole",Center,Minnesota Timberwolves,Kansas
"Asik, Omer",Center,New Orleans Pelicans,No College
"Baynes, Aron",Center,Detroit Pistons,Washington State
"Biyombo, Bismack",Center,Orlando Magic,No College
"Black, Tarik",Center,Los Angeles Lakers,Kansas
"Bogut, Andrew",Center,Dallas Mavericks,Utah
"Capela, Clint",Center,Houston Rockets,No College
"Cauley-Stein, Willie",Center,Sacramento Kings,Kentucky
"Chandler, Tyson",Center,Phoenix Suns,No College
"Dedmon, Dewayne",Center,San Antonio Spurs,USC
"Diaw, Boris",Center,Utah Jazz,No College
"Drummond, Andre",Center,Detroit Pistons,Connecticut
"Embiid, Joel",Center,Philadelphia 76ers,Kansas
"Ezeli, Festus",Center,Portland Trail Blazers,Vanderbilt
"Gasol, Marc",Center,Memphis Grizzlies,No College
"Gasol, Pau",Center,San Antonio Spurs,No College
"Gobert, Rudy",Center,Utah Jazz,No College
"Gortat, Marcin",Center,Washington Wizards,No College
"Hamilton, Justin",Center,Brooklyn Nets,LSU
"Hammons, A.J.",Center,Dallas Mavericks,Purdue
"Henson, John",Center,Milwaukee Bucks,North Carolina
"Hernangomez, Willy",Center,New York Knicks,No College
"Hibbert, Roy",Center,Charlotte Hornets,Georgetown
"Hilario, Nene",Center,Houston Rockets,No College
"Horford, Al",Center,Boston Celtics,Florida
"Howard, Dwight",Center,Atlanta Hawks,No College
"Jefferson, Al",Center,Indiana Pacers,No College
"Jones, Damian",Center,Golden State Warriors,Vanderbilt
"Jordan, DeAndre",Center,LA Clippers,Texas A&M
"Kaminsky III, Frank",Center,Charlotte Hornets,Wisconsin
"Kanter, Enes",Center,Oklahoma City Thunder,Kentucky
"Koufos, Kosta",Center,Sacramento Kings,Ohio State
"Lauvergne, Joffrey",Center,Oklahoma City Thunder,No College
"Len, Alex",Center,Phoenix Suns,Maryland
"Lopez, Brook",Center,Brooklyn Nets,Stanford
"Lopez, Robin",Center,Chicago Bulls,Stanford
"Mahinmi, Ian",Center,Washington Wizards,No College
"Marjanovic, Boban",Center,Detroit Pistons,No College
"McGee, JaVale",Center,Golden State Warriors,Nevada
