objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
129,255.784445232193491,3048.208042128888337,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
130,300.508858676631405,2041.793967118358523,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
131,44.570095558133346,120.593550976731791,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
132,608.748311903459808,16632.982183679101581,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
133,54.912132250064090,149.867812050274495,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
134,718.228227389660219,24698.227289884627680,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
135,17.529592090922279,20.446091985892682,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
136,85.591928997476003,317.534906002712887,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
137,18.171555309747713,21.663145016856046,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
138,33.004070239432124,68.055800501817714,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
139,208.306585233866855,2839.143991758218363,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
140,105.329223540343861,609.790960854451214,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
141,109.809491269311678,707.026850931728063,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
142,19.406438900306657,24.893932000359548,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
143,15.587226091148125,15.154747480618358,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
144,110.416783943139762,675.695933878926894,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
145,169.150020916405651,1755.626514387169436,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
146,109.871354260659189,669.367151606550124,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
147,84.380488867552842,363.445567461070482,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
148,41.108606941431241,112.020185466035869,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
149,17.859211298696756,20.438986994730040,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
150,425.832529169781367,11333.292968307969204,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
151,228.505509037595914,3298.121912915334633,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
152,43.466302445678934,115.583903484500965,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
153,295.222965325975110,5446.869812032175105,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
154,570.695235909627058,10665.657993373297359,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
155,154.972166582426581,1106.502014971279323,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
156,95.015366105300956,577.161662016569153,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
157,47.272290556888429,141.513470479296330,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
